YEAR,Region,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1914,Central,2.85667,2.96111,4.65444,4.73111,2.87222,2.23889,2.89778,3.93667,0.31111,1.77778,2.70333,3.04
1914,Connecticut River,2.53714,3.21429,4.78857,5.53714,3.20286,2.27714,3.17714,3.18,0.31857,2.26714,3.10429,3.39857
1914,Northeast,3.38789,3.23474,4.21211,5.80211,2.70211,1.71368,2.88526,3.45737,0.29053,1.50895,2.76421,3.29263
1914,Southeast,3.61,3.62375,4.26,4.59,2.58375,0.89,4.07,3.10889,1.50889,2.32333,3.35667,5.06444
1914,Western,2.45667,2.82667,4.35333,5.12333,2.33667,2.62,4.08333,2.93333,0.48333,1.60667,2.6,2.57
1915,Central,6.00667,3.67,0.08667,2.55556,1.99222,2.18889,8.39,5.73333,1.41556,2.82333,2.26556,5.10222
1915,Connecticut River,6.29,5.31714,0.16,3.01857,1.94857,2.69714,7.84429,7.89714,2.12286,2.49143,2.91,5.175
1915,Northeast,5.66,3.409,0.0485,2.1455,1.6455,2.216,9.7585,6.0325,0.959,3.083,2.757,4.652
1915,Southeast,8.517,3.929,0.059,2.048,2.269,2.097,4.935,5.734,1.555,3.127,2.384,5.069
1915,Western,5.43667,4.71,0.25667,2.21667,2.33,4.32,8.14,7.03667,2.97667,2.25,2.08,5.28333
1916,Central,1.53,4.986,2.909,3.236,3.591,5.282,5.839,2.77556,4.68333,1.55444,2.99222,2.91222
1916,Connecticut River,1.86143,5.50571,3.49714,3.50857,3.24714,5.05571,5.59857,2.46429,5.17286,1.32429,3.48714,3.18571
1916,Northeast,1.391,4.843,3.656,4.806,3.66,6.0075,4.3335,2.406,2.2945,1.0875,2.2135,2.983
1916,Southeast,1.691,4.766,3.469,4.398,4.16,4.894,8.613,1.757,1.934,2.641,2.635,3.458
1916,Western,2.18,3.79,2.87,3.38333,2.59,3.91667,5.82,2.61667,5.24333,1.51333,4.07,2.82667
1917,Central,3.02556,2.94111,3.93667,1.75111,3.86778,4.75556,1.66889,5.98125,1.13111,6.04444,1.22333,2.42556
1917,Connecticut River,3.29375,3.07125,4.01875,2.005,4.50875,4.72375,3.4,4.64375,0.9925,7.31,0.92625,3.36625
1917,Northeast,3.027,2.3265,3.9425,2.727,4.312,4.944,1.348,4.87526,1.832,5.588,1.091,2.66
1917,Southeast,3.303,2.252,5.162,3.501,5.477,5.335,1.547,4.69091,2.78273,5.57818,0.52455,2.36455
1917,Western,3.38667,2.05667,3.49667,1.41333,3.23333,4.56667,3.06,1.78,1.31,6.01333,1.70667,1.57
1918,Central,2.62333,3.18111,2.02222,3.52111,1.96889,4.66778,2.75889,2.72556,7.85111,1.38111,2.82,3.28222
1918,Connecticut River,3.57778,2.76667,2.72333,2.74333,2.41778,3.87889,2.20222,3.16889,6.02889,1.85222,2.41556,3.46333
1918,Northeast,2.98952,2.8919,2.40857,3.72952,1.60762,2.94286,3.79714,2.12762,8.86905,1.0681,2.35143,3.31524
1918,Southeast,3.75,3.26727,2.31091,4.96364,1.28727,3.21727,4.02818,2.00182,6.17091,0.74182,2.33091,3.70273
1918,Western,2.89333,3.20667,2.08,3.21667,3.18333,3.84333,2.4,4.51333,5.83333,2.20333,2.48,3.34333
1919,Cape Cod and Islands,5.27,3.67,5.34,3.35,4.51,2.98,7.93,6.76,7.46,3.06,4.92,3.01
1919,Central,3.404,2.783,5.231,2.761,5.90333,1.702,5.017,3.997,6.416,2.9,6.188,1.866
1919,Connecticut River,2.29,3.28667,5.41667,2.98,6.88778,1.56556,4.97111,3.304,4.929,2.61714,6.13429,1.86643
1919,Northeast,3.71,3.21682,4.23045,2.56682,5.25182,1.73773,3.90318,4.46773,5.73909,2.59136,5.99818,1.74273
1919,Southeast,4.76818,3.58727,4.757,3.59,4.656,1.81,5.44,6.595,6.14636,2.34545,4.67182,2.51182
1919,Western,2.28333,2.73,4.68333,2.29,7.25333,1.58667,4.36,3.57667,4.68667,3.2325,5.54,2.185
1920,Cape Cod and Islands,2.6,5.68,5.35,5.79,5.41,6.77,2.85,1.83,2.25,4.1,3.65,4.79
1920,Central,2.706,5.346,4.268,5.681,3.87818,5.78636,3.38455,3.84,6.13364,1.06,4.85909,5.88
1920,Connecticut River,2.415,4.6,3.71214,5.78786,2.96286,6.72143,3.70929,4.69857,6.48923,1.37929,5.96714,5.75929
1920,Northeast,2.585,6.59182,4.00682,5.54318,4.14045,6.28773,2.17227,2.18045,4.16409,1.33455,5.55909,4.55091
1920,Southeast,3.35909,6.32818,4.98273,5.08364,4.76091,7.03455,2.67182,2.92,2.77909,1.84,4.425,3.90167
1920,Western,2.1,4.2075,3.4075,6.1975,1.71,5.965,3.4725,4.5125,6.4025,1.6075,4.7525,4.58
1921,Cape Cod and Islands,2.4,1.47,3.68,4.82,6.22,2.35,6.99,3.73,1.15,2.49,8.96,2.15
1921,Central,2.54364,2.98818,3.37636,6.18,3.10909,3.40364,6.33364,2.79636,2.54455,2.07273,6.95091,2.70091
1921,Connecticut River,2.25643,2.96857,3.60714,5.56533,3.11333,3.516,5.41333,2.92267,2.47067,1.846,6.418,1.83867
1921,Northeast,2.30318,3.02136,2.49591,4.77591,3.11409,3.495,8.65864,1.70773,2.07864,1.545,7.52955,2.60818
1921,Southeast,2.94846,2.53846,3.26077,5.32692,3.60231,3.4075,8.77917,2.24583,1.425,1.19214,7.34857,2.60857
1921,Western,2.235,2.505,5.1575,4.6775,1.5975,3.0125,4.395,4.0375,2.91,1.99,5.805,1.8625
1922,Cape Cod and Islands,1.9,3.51,6.05,2.32,4.83,3.93,4.26,6.39,1.95,3.7,1.42,4.09
1922,Central,1.73545,2.87636,5.274,2.11636,4.28,9.89364,5.20909,4.90818,3.62909,2.98455,1.59455,3.40727
1922,Connecticut River,1.74133,2.70333,5.61286,2.69333,5.796,7.89692,5.20267,4.41571,2.59533,2.914,1.51333,3.332
1922,Northeast,1.88136,3.05455,4.88,1.945,5.45909,10.0314,4.95591,4.56455,3.71955,2.52318,1.18864,3.47273
1922,Southeast,2.04214,3.43357,5.62071,2.055,4.48,6.62462,4.564,8.526,3.01333,2.908,1.23933,3.588
1922,Western,1.9225,2.6625,6.5675,2.21,5.4125,7.3575,4.395,5.5525,1.6875,2.7325,1.58,2.3625
1923,Cape Cod and Islands,4.29,0.99,5.6,6.27,1.07,3.31,4.17,2.34,1.69,4.43,1.98,5.05
1923,Central,6.39545,1.96273,2.67455,5.17636,1.55,3.54182,2.89273,2.83818,1.76273,5.20273,5.24364,4.59182
1923,Connecticut River,5.91571,2.03067,2.12667,3.80267,2.89067,3.45533,2.916,3.16133,2.72067,6.41133,4.49267,4.60867
1923,Northeast,6.99909,1.98955,2.97591,5.29455,1.47773,2.78636,2.81545,2.27136,0.82409,4.18727,4.10045,5.11909
1923,Southeast,6.37533,1.88733,3.94533,5.60533,1.09867,3.57133,3.04667,2.62533,1.54267,4.62333,2.94333,5.15867
1923,Western,5.115,1.715,1.7275,2.8775,3.3675,4.1,3.9725,3.6925,3.685,6.085,3.045,3.52
1924,Cape Cod and Islands,3.92,3.05,3.19,6.28,2.95,2.48,1.32,8.98,3.15,0.38,2.11,2.32
1924,Central,4.19455,2.23182,1.88909,5.90182,3.08273,1.98,2.772,4.129,5.151,0.091,3.138,1.927
1924,Connecticut River,3.88929,2.28429,1.03643,6.20267,3.64429,1.82267,2.12133,3.65067,6.12154,0.12533,3.12867,2.10786
1924,Northeast,3.74364,2.58682,2.11455,4.47364,3.28409,2.29545,2.18455,5.80818,6.41136,0.13182,2.61364,1.76818
1924,Southeast,3.97533,3.15,3.22733,5.63467,2.852,2.18267,1.646,6.97533,4.81267,0.17067,1.88067,1.984
1924,Western,3.2325,2.115,1.3525,6.39,3.7475,2.02,3.31,3.7925,8.115,0.06,3.2625,1.9975
1925,Cape Cod and Islands,1.66,1.97,3.14,3.3,3.57,4.01,3.55,1.31,3.52,5.1,4.22,3.7
1925,Central,2.745,2.534,5.009,3.132,2.621,4.505,6.172,2.191,3.367,4.27,3.681,3.162
1925,Connecticut River,3.086,3.678,4.17467,3.05,2.54333,4.36667,6.09071,2.32467,3.51267,4.18467,3.822,2.99867
1925,Northeast,3.96955,2.17955,6.315,2.72,2.20136,3.94818,3.78773,1.92545,3.05682,4.87364,3.77636,5.55174
1925,Southeast,3.68733,1.94933,4.172,2.486,2.75933,2.568,4.63467,1.68333,4.28067,4.21667,4.01933,4.32133
1925,Western,2.6225,3.075,4.23,3.615,3.615,4.84,7.92,1.725,3.525,3.65,3.9125,1.9225
1926,Cape Cod and Islands,3.55,4.2,2.67,2.28,5.12,3.48,3.14,4.27,1.81,8.34,3.78,2.75
1926,Central,2.776,4.548,3.083,2.377,1.812,2.412,3.81,3.037,1.588,5.164,5.465,3.394
1926,Connecticut River,2.83294,4.24647,3.38471,2.75941,1.74706,2.38059,3.79259,3.72235,1.97,5.08176,5.57,2.93
1926,Northeast,2.65696,5.22957,2.80957,2.35478,2.42957,1.86217,3.17565,3.62087,1.34,4.23435,4.31304,3.50739
1926,Southeast,2.85,4.87933,3.118,2.16933,3.10533,2.43,3.42667,3.70267,1.366,5.81867,4.96,3.444
1926,Western,2.49,3.85,2.735,2.7375,2.07,3.52,3.99,4.91,2.4675,5.2625,4.685,2.61
1927,Cape Cod and Islands,2.5,2.85,1.42,1.8,2.46,6.46,4.15,8.02,3.85,3.86,4.76,5.69
1927,Central,2.745,3.6,1.627,2.06909,4.01636,3.15182,5.32182,6.62636,2.52636,5.20273,7.07273,5.8625
1927,Connecticut River,2.62294,3.45,1.84529,2.18235,4.70647,3.96059,5.08176,6.60412,2.52118,5.54,8.75824,5.42529
1927,Northeast,2.63043,3.49348,1.3687,1.6713,2.87565,2.14522,4.08478,7.66696,3.44957,4.33435,5.28273,5.37917
1927,Southeast,2.90438,3.10875,1.41125,1.845,2.32313,2.44125,4.1125,10.3756,3.27875,3.9825,4.81375,5.14125
1927,Western,2.6175,3.3,2.01,1.58,4.805,2.8975,5.86,6.26,2.22,6.6975,11.04,4.92
1928,Cape Cod and Islands,3.37,5.13,3.6,4.94,2.8,5.58,4.26,0.8,8.04,1.19,3.82,3.14
1928,Central,2.5225,3.27833,1.92917,4.7675,2.36417,6.91417,5.84083,6.43333,3.47667,2.07833,2.1325,1.6675
1928,Connecticut River,2.55176,3.21882,2.15882,4.62176,2.98294,6.89941,6.2,8.15647,3.36412,1.01,1.97412,1.15235
1928,Northeast,2.23042,3.28417,1.65333,5.0375,2.99833,5.71,4.305,3.8275,4.39458,2.95833,2.04125,2.95375
1928,Southeast,2.68688,3.8,2.66938,4.54875,1.97813,4.85688,4.4175,2.23375,4.77063,3.19438,2.1225,3.16688
1928,Western,2.165,2.8675,1.755,3.9825,2.6825,6.5275,6.405,9.075,2.6775,1.1875,1.91,1.0125
1929,Cape Cod and Islands,2.75,3.99,3.825,6.305,5.53,0.39,1.21,4.315,6.905,2.325,2.725,4.105
1929,Central,4.22417,3.48,3.31333,6.04,4.32385,3.51923,0.99769,2.02,2.97692,2.46385,2.75385,3.23385
1929,Connecticut River,3.96647,3.66353,3.26824,6.67,4.31,2.48471,0.79,2.05588,3.13688,3.91941,2.74765,3.70235
1929,Northeast,3.50833,3.67,3.43333,7.25708,3.5575,2.41,1.27125,2.43958,1.76458,2.63875,2.97417,3.99583
1929,Southeast,3.785,3.6675,4.03313,7.46375,3.435,1.20813,2.53375,2.95625,3.59938,2.86875,3.36813,4.70688
1929,Western,3.115,3.475,3.8675,7.775,3.6075,2.515,0.9575,1.81,3.4325,3.6675,2.8525,3.23
1930,Cape Cod and Islands,4.2,3.15,1.99,0.625,2.225,2.06,2.19,2.89,0.2,4.31,5.74,4.18
1930,Central,2.16571,1.97929,3.27786,1.55929,2.82071,3.18429,4.56923,1.59071,2.15786,2.65929,3.15571,1.85786
1930,Connecticut River,2.16706,1.60765,3.95235,1.73824,4.24294,5.05444,4.45722,2.28222,2.04389,2.14222,3.82889,1.53111
1930,Northeast,2.54833,2.21667,3.47042,1.82958,3.2325,2.1275,4.39375,2.43208,0.87333,4.73208,4.36083,2.49792
1930,Southeast,3.29294,3.18059,2.87059,1.66529,2.79353,2.56118,2.91118,2.49059,0.40059,4.35118,4.14235,2.96278
1930,Western,2.055,2.0275,3.3275,2.19,3.62,5.035,4.1425,3.13,1.695,1.8725,3.765,1.685
1931,Cape Cod and Islands,4.4,3.88,8.14,3.885,7.36,6.41,6.545,3.975,1.88,5.995,0.83,3.585
1931,Central,2.642,2.23073,4.52733,2.83563,4.84688,5.28063,2.60688,6.688,2.08,2.8375,1.33125,3.41063
1931,Connecticut River,3.06167,1.99333,4.17333,2.67889,7.17333,5.04737,3.84895,4.37842,2.07579,2.60579,1.49368,3.56316
1931,Northeast,3.58667,2.985,5.0875,3.07208,4.08833,7.35708,2.56542,4.79167,1.82958,2.61,1.17125,3.62667
1931,Southeast,3.29722,2.70333,6.17167,3.13556,5.03833,7.23167,3.66111,5.60833,1.72167,3.49167,0.84111,3.27667
1931,Western,2.2375,1.865,3.4075,2.4525,7.025,4.62,5.3425,3.5575,2.43,2.615,1.75,3.53
1932,Cape Cod and Islands,5.93333,2.24667,4.90333,1.31333,2.12667,4.63,3.12,3.35667,5.18667,5.88333,4.21,2.88333
1932,Central,4.7825,2.23875,4.75125,1.9075,2.0975,2.16063,3.65625,4.52375,6.30875,5.75313,4.51563,1.87125
1932,Connecticut River,4.63789,2.35842,4.08105,2.28,1.85421,3.27278,4.12278,3.91947,3.39842,5.62632,6.69263,1.82474
1932,Northeast,4.9,2.16458,5.08792,1.82583,1.30625,2.15208,2.59333,4.89792,6.86,7.165,4.97542,1.6675
1932,Southeast,5.81,2.26278,5.54167,1.56833,2.07889,2.67833,2.34111,5.37444,6.56,5.48722,6.04667,1.96889
1932,Western,5.3925,2.2775,4.445,2.185,2.2375,3.345,5.01,4.71,2.6325,4.9925,6.5,1.595
1933,Cape Cod and Islands,4.63667,3.35667,6.09333,4.86,2.25667,2.76667,3.11333,6.48,12.6633,6.27,2.77333,3.33
1933,Central,2.3475,3.80875,5.29063,5.72063,2.40188,2.37438,2.66313,5.24875,9.3,4.15188,1.42188,3.39125
1933,Connecticut River,2.31474,3.43632,5.27684,5.20895,2.17947,2.67316,2.43737,7.20222,8.55278,3.40105,1.10368,3.44105
1933,Northeast,2.51667,3.76667,6.75625,6.75333,2.58783,1.60333,2.69875,3.35917,10.3008,3.99083,1.07833,3.526
1933,Southeast,2.44111,3.745,6.35611,7.01833,2.22167,1.98611,2.73333,3.23722,11.3394,3.66222,1.89,3.87167
1933,Western,2.26,3.125,5.0325,4.6175,2.815,2.595,3.9825,9.065,9.005,2.9975,1.8625,3.745
1934,Cape Cod and Islands,2.84,3.56667,2.89667,3.47333,1.39667,2.92,1.09,1.81333,2.88,4.78667,2.46333,3.48333
1934,Central,3.5525,3.14188,3.32375,4.035,3.99438,5.33063,3.11188,2.70063,9.03313,2.76375,2.9675,3.615
1934,Connecticut River,3.57105,2.58368,3.47263,4.27316,4.15368,5.76158,2.88842,3.99474,10.0032,2.58842,3.76789,3.13947
1934,Northeast,3.3656,3.6024,4.4688,3.4024,2.7196,4.0984,1.7192,1.7988,7.2108,3.3892,2.6048,2.6272
1934,Southeast,3.77056,3.59333,4.27,3.87722,2.72556,3.94056,1.535,2.44556,3.82389,3.85556,3.16389,3.34833
1934,Western,2.9025,2.6825,3.035,4.355,5.1475,6.365,3.655,3.625,9.195,2.75,4.7275,2.6275
1935,Cape Cod and Islands,4.02,2.11,2.02667,3.28,1.77333,5.53,4.86,1.845,5.965,2.36,5.14,1.195
1935,Central,5.24063,3.005,1.98125,3.25375,2.59938,5.96313,3.11938,1.45188,4.3475,0.83875,4.11,1.0325
1935,Connecticut River,4.83263,2.60895,1.73474,2.28158,2.57,5.37632,3.74474,0.81,4.69684,0.99316,4.35053,1.10895
1935,Northeast,6.6616,3.1728,1.6072,4.844,1.546,6.228,2.2352,2.02654,3.96192,0.59308,5.03923,1.18577
1935,Southeast,6.05389,2.89833,1.84278,5.4,2.09167,5.15579,3.22474,2.38789,3.94632,1.34211,6.24211,1.36211
1935,Western,4.725,2.47,1.9725,2.6825,2.41,5.305,4.905,1.035,3.6975,1.66,5.255,1.315
1936,Cape Cod and Islands,5.26,2.36,5.525,2.23,1.665,4.17,1.805,4.76,7.71333,3.82667,2.23,8.27667
1936,Central,6.86813,3.05688,10.1273,3.67,3.00563,2.9325,2.485,5.775,4.67188,3.2025,1.7075,7.39813
1936,Connecticut River,5.87474,2.58632,8.80474,4.07789,2.55263,2.97842,2.08263,5.15,3.93737,3.40632,1.94053,6.25474
1936,Northeast,7.29462,3.16038,7.39654,3.39538,2.21538,2.77769,2.39385,4.68115,4.44154,2.37846,1.37192,8.335
1936,Southeast,7.33789,2.86474,7.24,3.59632,1.72737,3.45105,2.04632,5.30316,7.44421,2.24947,1.42053,9.67684
1936,Western,4.8425,2.43,8.3225,4.565,3.295,1.9875,2.4375,5.78,4.25,2.835,2.07,5.0175
1937,Cape Cod and Islands,3.97667,1.73667,3.68333,5.16,2.92667,3.52333,0.91333,5.84667,5.80333,4.88,4.35333,3.38
1937,Central,5.20688,2.07875,3.24188,4.41813,4.07125,5.34,3.11625,5.20875,4.14375,4.14813,6.92313,2.74813
1937,Connecticut River,5.38632,2.82263,3.62947,4.14,6.03632,5.75105,2.99368,4.9175,4.676,5.2725,5.98421,2.8075
1937,Northeast,4.52821,1.75464,3.57929,5.04893,3.17,3.84786,1.11321,4.36179,3.83071,4.155,5.52857,4.31071
1937,Southeast,4.62105,1.58684,3.78421,5.11158,2.73105,3.76316,1.05895,5.54278,4.43389,4.03368,5.59895,4.04895
1937,Western,5.6075,2.7325,3.765,3.6025,5.38,6.37,2.2975,5.495,5.605,5.99,4.0075,2.93
1938,Cape Cod and Islands,3.44667,2.38333,3.22,3.88333,3.94667,5.82333,4.64667,3.13,7.12333,4.7,4.06333,4.14
1938,Central,4.455,2.2,2.395,2.85938,3.73688,7.94375,9.21313,3.65375,14.2575,2.055,3.37063,3.26875
1938,Connecticut River,5.07684,2.02368,2.24632,2.87316,3.995,7.7675,8.1425,3.142,13.075,2.4415,3.02474,3.61158
1938,Northeast,4.03714,2.30857,2.37429,3.08,3.97536,6.73321,11.1029,3.11679,8.05593,2.36643,2.77429,3.15357
1938,Southeast,4.15053,2.57842,2.68263,2.81684,4.13579,8.83421,7.45105,2.71211,6.51105,3.18842,3.42211,3.32789
1938,Western,3.4825,1.8075,2.4225,2.6725,3.665,7.7475,9.34667,4.365,12.29,1.96,3.15,3.215
1939,Cape Cod and Islands,4.2,5.21,7.55667,4.44667,1.37,3.67667,1.11667,4.87,2.43333,3.865,2.42667,2.11
1939,Central,2.57,3.85625,3.78438,4.14188,1.505,2.9575,1.63824,4.57625,2.30588,4.34824,0.91765,3.39588
1939,Connecticut River,2.65211,3.72579,3.92053,4.66105,1.413,3.557,2.24238,4.6219,3.08333,4.41238,1.12762,3.16619
1939,Northeast,2.13,3.62429,4.64536,4.58214,2.00464,2.89357,1.1525,2.97857,1.8875,4.69929,1.1125,2.97857
1939,Southeast,3.08053,4.26263,5.61895,4.83842,1.44947,3.43579,1.35105,4.57316,2.32579,5.01105,1.59474,2.46263
1939,Western,2.545,3.54,3.515,5.835,1.46,4.3,2.74,4.4,4.315,4.72,1.4175,2.705
1940,Cape Cod and Islands,2.09667,5.20667,4.46333,6.38,2.45667,1.36333,4.26333,0.94333,5.39,2.44667,5.06667,3.83333
1940,Central,2.23588,3.42706,4.37882,5.64353,5.31706,2.60647,3.68294,1.61,2.34588,1.30176,6.43412,2.74882
1940,Connecticut River,2.47095,3.04524,5.04619,5.44381,6.15333,3.13238,3.50136,2.01318,2.21,1.29455,6.01333,2.79952
1940,Northeast,2.27321,4.44607,3.84821,5.19,3.97714,2.45679,3.45607,1.385,3.39357,1.0775,6.4175,2.765
1940,Southeast,2.49421,5.19632,4.00526,6.78474,4.60947,2.28316,3.91474,1.29368,3.85947,1.82211,6.93053,2.70368
1940,Western,1.96,3.29,4.895,4.6925,6.41,4.4,2.8875,3.505,2.9025,1.33,4.8075,2.555
1941,Cape Cod and Islands,4.2,1.68333,2.51667,3.34,1.58333,6.82667,4.26667,5.13,0.07,2.54,2.30667,2.51333
1941,Central,2.50824,2.20824,1.71176,0.87588,2.80529,3.48765,4.83353,3.44235,0.81059,2.20588,2.85588,3.08412
1941,Connecticut River,2.31,2.41238,1.72095,0.83952,2.67952,4.67727,5.3605,3.78524,1.20364,2.38727,3.36174,3.93348
1941,Northeast,3.30036,1.85929,2.36464,1.50107,2.50429,2.74536,3.16929,2.69821,0.66071,2.05071,2.61857,3.62607
1941,Southeast,3.92158,2.25895,2.56474,2.19368,2.90579,4.96789,4.29,3.30684,0.33105,2.05737,2.39842,3.31421
1941,Western,1.9775,2.01,2.02,0.75,2.19,4.8775,5.155,4.915,1.7775,3.5225,2.3425,4.195
1942,Cape Cod and Islands,3.90667,2.75,7.5,0.75667,1.99333,2.71333,2.26667,7.74,3.43333,4.69333,4.21667,3.72
1942,Central,3.74278,2.05556,6.64222,1.02,3.28833,4.625,4.95722,2.17556,2.91421,3.54158,5.02158,5.10895
1942,Connecticut River,3.42043,2.06826,6.58217,1.19826,4.33957,4.0113,5.65957,2.93227,4.53783,4.36478,5.3387,5.94043
1942,Northeast,3.78857,3.42036,6.94179,1.62964,2.44607,3.69286,5.17357,2.56929,2.17786,3.02214,5.02143,5.23643
1942,Southeast,4.09316,3.12053,7.86158,1.05684,1.86,3.02684,4.52789,4.50316,2.47368,4.07158,5.48263,4.62158
1942,Western,2.9625,1.4475,5.73,1.52,4.345,4.995,7.115,2.465,6.02,5.265,5.4325,4.675
1943,Cape Cod and Islands,4.35667,2.35333,3.58667,3.52667,3.53667,1.40333,4.65,4.95333,2.98,4.03667,2.99,1.45667
1943,Central,2.78316,1.46053,3.12526,3.66526,5.58737,2.03947,4.99053,2.36895,1.19263,5.52105,5.42895,0.75684
1943,Connecticut River,2.82783,1.65826,3.39783,3.57913,6.13591,3.05174,5.69095,2.31174,1.88522,5.3587,5.44565,0.67217
1943,Northeast,3.21036,1.27821,3.59,3.06,5.03964,2.16357,4.45714,1.73643,1.20893,5.15893,3.9625,0.9875
1943,Southeast,3.50632,1.71842,3.38368,3.52789,4.90579,1.96211,3.85474,2.40316,1.82053,4.32316,3.08316,1.17789
1943,Western,3.505,1.5225,2.9625,3.55,6.365,3.5525,5.2725,2.6575,1.87,4.55,4.2975,0.6175
1944,Cape Cod and Islands,3.30667,1.83,5.29,5.26333,1.07,2.61667,0.65667,1.04667,3.82333,2.42333,9.15333,3.15
1944,Central,1.36474,2.10579,4.28526,4.13421,1.18421,7.37053,2.78737,1.24,7.30632,1.99789,4.07895,3.104
1944,Connecticut River,1.47565,2.23478,4.54913,4.14609,1.27652,5.97522,3.50261,2.11739,6.285,2.03783,4.68087,3.41609
1944,Northeast,2.41,2.26536,4.02536,3.73107,0.73286,5.31464,2.0425,2.03714,6.34519,2.40071,6.02179,3.31393
1944,Southeast,2.25579,2.16737,4.64737,4.13895,0.61,3.96211,1.13421,1.33842,7.42526,2.68263,7.89842,3.54895
1944,Western,1.5975,1.6,3.5,4.0125,1.5675,5.4425,5.4275,2.3025,4.6275,2.1075,3.935,3.21
1945,Cape Cod and Islands,3.84,3.81333,2.67333,1.72,4.17667,5.36667,1.40333,1.96,0.98667,2.91,8.97333,6.16333
1945,Central,2.9795,3.875,1.873,4.736,5.532,6.764,5.4495,3.348,2.103,2.5705,4.395,4.556
1945,Connecticut River,3.41955,3.86727,2.10818,5.64136,7.12455,7.12273,7.00864,3.70714,3.37136,2.65545,4.09591,4.46091
1945,Northeast,3.17071,4.16,1.97821,2.92107,4.70393,6.0525,3.40571,3.44143,1.40893,2.50821,7.20519,6.53704
1945,Southeast,3.82579,4.24895,2.24158,2.36684,4.65,4.92556,2.76526,3.49316,1.89105,3.48368,9.25895,7.98421
1945,Western,3.505,3.22,2.595,6.4175,6.6875,6.535,9.16,4.015,3.385,2.7825,4.775,3.4425
1946,Cape Cod and Islands,3.31,3.63667,1.58,3.435,5.49,3,3.2425,11.4575,3.4,0.415,0.84,4.01333
1946,Central,3.039,3.1655,1.6465,2.57,5.708,4.16667,3.8005,6.239,4.897,0.982,1.286,3.422
1946,Connecticut River,2.78182,3.25864,1.53909,2.36136,6.26773,3.78227,4.80318,3.94818,4.82826,1.39783,1.01478,3.28609
1946,Northeast,3.92333,3.21593,1.57111,2.83333,5.5,3.12481,1.85296,8.89111,2.77148,0.77259,1.12259,3.9563
1946,Southeast,3.81895,3.17842,1.69842,2.78368,4.93737,3.83105,1.51,11.3242,2.55526,0.54263,1.05105,3.86684
1946,Western,2.4125,3.35,1.14,2.0175,6.1275,4.095,4.795,2.6675,5.6925,2.515,1.175,2.9625
1947,Cape Cod and Islands,3.5975,1.9125,2.545,7.0225,4.1375,4.035,3.02,1.0625,2.355,2.1775,3.175,4.115
1947,Central,3.005,2.2455,2.9155,4.433,3.2325,3.537,4.848,1.951,3.03,1.305,5.5825,2.767
1947,Connecticut River,3.54087,2.58609,3.39391,4.67783,4.04217,3.44522,4.46435,2.97739,3.42783,2.49174,5.66217,2.6913
1947,Northeast,2.81037,1.45148,3.18222,4.44926,3.98889,3.11667,4.83889,2.22,3.42259,0.86741,5.65269,3.7437
1947,Southeast,2.75316,1.37526,2.92684,5.19947,4.26737,4.46474,4.24632,1.68684,3.50895,2.54947,4.75789,3.82263
1947,Western,3.55,2.5525,4.095,4.6775,4.2075,4.01,4.1725,2.5575,2.9475,2.7475,4.765,2.66
1948,Cape Cod and Islands,6.42667,3.07333,3.98667,4.41,8.25,2.5175,1.8,1.3025,2.0275,6.61667,5.4425,2.49
1948,Central,3.3835,2.204,3.507,3.253,6.4335,5.824,5.2235,1.9645,1.2905,2.078,6.5005,2.698
1948,Connecticut River,2.76957,2.4613,3.48174,3.18565,6.16174,6.89783,3.43696,2.79478,1.73696,1.54391,5.45652,5.50609
1948,Northeast,4.83,2.22393,2.90214,2.73464,5.41857,5.04107,4.70556,1.52556,0.75,3.57074,5.74889,1.56444
1948,Southeast,6.049,2.26,3.7115,3.6445,8.1425,3.646,4.909,2.312,1.4625,5.8755,5.4635,2.0335
1948,Western,2.305,2.3125,4.145,3.27,6.745,7.605,3.53,3.2275,2.3975,1.82,4.7025,10.675
1949,Cape Cod and Islands,3.98,5.1,3.145,5.365,3.9075,0.0425,1.42,2.0375,3.2125,2.46,3.942,3.49
1949,Central,4.2425,3.0255,1.636,3.705,4.1915,0.802,2.4995,3.6135,2.924,2.1685,2.2525,3.041
1949,Connecticut River,4.68348,3.20304,1.59043,3.62522,4.57522,1.09043,3.3813,3.75609,3.08261,2.56261,1.96391,3.03522
1949,Northeast,3.67481,3.19593,1.64143,4.06786,3.48857,0.73357,1.76143,3.20714,4.63741,1.88679,3.06714,1.9475
1949,Southeast,3.6925,3.8005,2.14,4.351,3.7305,0.1325,1.626,2.793,3.003,1.47158,3.374,2.1035
1949,Western,4.4275,3.4175,1.5425,3.3725,4.1275,2.6475,4.72,3.175,3.8125,2.49,1.655,3.355
1950,Cape Cod and Islands,3.21,4.01,3.782,3.336,1.936,2.946,1.78,3.105,3.70333,1.14667,6.41,4.796
1950,Central,4.45048,3.55524,2.89,3.69095,3.1081,3.61143,3.12381,4.02952,1.5019,2.18333,6.62476,3.84333
1950,Connecticut River,4.79913,4.01522,3.11304,3.52739,4.10783,3.88435,2.65087,3.87818,1.55565,2.25913,6.42522,4.55478
1950,Northeast,4.30393,3.3975,3.50214,2.37214,1.55107,1.52143,2.04786,4.13071,1.595,2.66179,6.10679,3.62107
